X Y Z CORTAR
99.412405 245.028343 0.000 1
100.097810 239.196098 0.000 1
100.772654 230.737805 0.000 1
101.338544 221.395961 0.000 1
101.694681 212.488836 0.000 1
102.007435 199.184681 0.000 1
101.864827 192.871520 0.000 1
101.212467 187.790302 0.000 1
99.698362 180.960493 0.000 1
97.196683 170.032920 0.000 1
95.858526 161.783258 0.000 1
95.363149 154.106181 0.000 1
95.537139 145.151667 0.000 1
96.144075 133.500000 0.000 1
91.591671 143.368519 0.000 1
87.039267 153.237039 0.000 1
91.519634 171.078182 0.000 1
96.000000 188.919326 0.000 1
96.063386 224.709663 0.000 1
96.145212 238.299172 0.000 1
96.345109 249.399088 0.000 1
96.607022 258.442085 0.000 1
96.933431 258.500000 0.000 1
97.328923 257.178003 0.000 1
97.994376 253.717701 0.000 1
98.713035 249.567777 0.000 1
NaN NaN NaN NaN
105.095326 104.938120 0.000 1
110.349874 96.961059 0.000 1
114.860177 89.111613 0.000 1
118.711278 81.231419 0.000 1
121.987720 73.162856 0.000 1
123.619172 68.393328 0.000 1
124.143936 65.708912 0.000 1
124.056738 62.914215 0.000 1
123.204393 57.572615 0.000 1
121.734944 49.319519 0.000 1
126.825797 38.765121 0.000 1
131.820302 29.482200 0.000 1
135.817176 25.359264 0.000 1
140.535428 24.170171 0.000 1
147.591069 25.489176 0.000 1
149.520320 26.060439 0.000 1
151.254706 26.544086 0.000 1
152.717408 26.928369 0.000 1
153.169633 26.989176 0.000 1
153.501686 26.792645 0.000 1
154.130402 25.528070 0.000 1
154.815072 23.915578 0.000 1
155.500000 22.000000 0.000 1
157.160733 17.000000 0.000 1
179.919852 17.000000 0.000 1
202.678970 17.000000 0.000 1
203.839485 19.547053 0.000 1
204.284837 20.610450 0.000 1
204.663597 21.699275 0.000 1
204.934837 22.668446 0.000 1
205.015313 23.297053 0.000 1
205.415899 25.312189 0.000 1
206.497368 26.325104 0.000 1
208.492390 26.448259 0.000 1
212.040365 25.580654 0.000 1
219.378999 24.187754 0.000 1
224.152335 25.333896 0.000 1
228.145143 29.410148 0.000 1
233.174203 38.765121 0.000 1
