X Y Z CORTAR
NaN NaN NaN NaN
NaN NaN NaN NaN
10.494959 182.118000 0.000 1
32.679479 182.118000 0.000 1
32.797397 182.117998 0.000 1
32.915315 182.117991 0.000 1
33.033233 182.117981 0.000 1
33.151150 182.117966 0.000 1
33.269068 182.117947 0.000 1
33.386986 182.117923 0.000 1
33.504903 182.117896 0.000 1
33.622821 182.117864 0.000 1
33.740739 182.117828 0.000 1
33.858656 182.117788 0.000 1
33.976574 182.117743 0.000 1
34.094492 182.117695 0.000 1
34.212409 182.117642 0.000 1
34.330327 182.117585 0.000 1
34.448245 182.117524 0.000 1
34.566162 182.117458 0.000 1
34.684080 182.117388 0.000 1
34.801998 182.117314 0.000 1
34.919915 182.117236 0.000 1
35.037833 182.117154 0.000 1
35.155751 182.117067 0.000 1
35.273668 182.116976 0.000 1
35.391586 182.116881 0.000 1
35.509503 182.116782 0.000 1
35.627421 182.116678 0.000 1
35.745339 182.116571 0.000 1
35.863256 182.116459 0.000 1
35.981174 182.116342 0.000 1
36.099092 182.116222 0.000 1
36.217009 182.116097 0.000 1
36.334927 182.115968 0.000 1
36.452844 182.115835 0.000 1
36.570762 182.115698 0.000 1
36.688680 182.115557 0.000 1
36.806597 182.115411 0.000 1
36.924515 182.115261 0.000 1
37.042432 182.115107 0.000 1
37.160350 182.114948 0.000 1
37.278267 182.114786 0.000 1
37.396185 182.114619 0.000 1
37.514103 182.114448 0.000 1
37.632020 182.114272 0.000 1
37.749938 182.114093 0.000 1
37.867855 182.113909 0.000 1
37.985773 182.113721 0.000 1
38.103690 182.113529 0.000 1
38.221608 182.113333 0.000 1
38.339525 182.113132 0.000 1
38.457443 182.112927 0.000 1
38.575360 182.112718 0.000 1
38.693278 182.112505 0.000 1
38.811195 182.112287 0.000 1
38.929113 182.112066 0.000 1
39.047030 182.111840 0.000 1
39.164948 182.111610 0.000 1
39.282865 182.111375 0.000 1
39.400783 182.111137 0.000 1
39.518700 182.110894 0.000 1
39.636617 182.110647 0.000 1
39.754535 182.110396 0.000 1
39.872452 182.110140 0.000 1
39.990370 182.109880 0.000 1
40.108287 182.109616 0.000 1
40.226204 182.109348 0.000 1
40.344122 182.109076 0.000 1
40.462039 182.108799 0.000 1
40.579956 182.108518 0.000 1
40.697874 182.108233 0.000 1
40.815791 182.107944 0.000 1
40.933708 182.107651 0.000 1
41.051626 182.107353 0.000 1
41.169543 182.107051 0.000 1
41.287460 182.106745 0.000 1
41.405378 182.106435 0.000 1
41.523295 182.106120 0.000 1
41.641212 182.105801 0.000 1
41.759129 182.105478 0.000 1
41.877047 182.105151 0.000 1
41.994964 182.104819 0.000 1
42.112881 182.104484 0.000 1
42.230798 182.104144 0.000 1
42.348715 182.103800 0.000 1
42.466632 182.103451 0.000 1
42.584550 182.103099 0.000 1
42.702467 182.102742 0.000 1
42.820384 182.102381 0.000 1
42.938301 182.102016 0.000 1
43.056218 182.101646 0.000 1
43.174135 182.101273 0.000 1
43.292052 182.100895 0.000 1
43.409969 182.100512 0.000 1
43.527886 182.100126 0.000 1
