X Y Z V
322.500000 301.425781 200.000000 0.000000
322.500000 301.425781 200.000000 50.000000
322.500000 301.425781 198.979592 50.000000
322.500000 301.425781 197.959184 50.000000
322.500000 301.425781 196.938776 50.000000
322.500000 301.425781 195.918367 50.000000
322.500000 301.425781 194.897959 50.000000
322.500000 301.425781 193.877551 50.000000
322.500000 301.425781 192.857143 50.000000
322.500000 301.425781 191.836735 50.000000
322.500000 301.425781 190.816327 50.000000
322.500000 301.425781 189.795918 50.000000
322.500000 301.425781 188.775510 50.000000
322.500000 301.425781 187.755102 50.000000
322.500000 301.425781 186.734694 50.000000
322.500000 301.425781 185.714286 50.000000
322.500000 301.425781 184.693878 50.000000
322.500000 301.425781 183.673469 50.000000
322.500000 301.425781 182.653061 50.000000
322.500000 301.425781 181.632653 50.000000
322.500000 301.425781 180.612245 50.000000
322.500000 301.425781 179.591837 50.000000
322.500000 301.425781 178.571429 50.000000
322.500000 301.425781 177.551020 50.000000
322.500000 301.425781 176.530612 50.000000
322.500000 301.425781 175.510204 50.000000
322.500000 301.425781 174.489796 50.000000
322.500000 301.425781 173.469388 50.000000
322.500000 301.425781 172.448980 50.000000
322.500000 301.425781 171.428571 50.000000
322.500000 301.425781 170.408163 50.000000
322.500000 301.425781 169.387755 50.000000
322.500000 301.425781 168.367347 50.000000
322.500000 301.425781 167.346939 50.000000
322.500000 301.425781 166.326531 50.000000
322.500000 301.425781 165.306122 50.000000
322.500000 301.425781 164.285714 50.000000
322.500000 301.425781 163.265306 50.000000
322.500000 301.425781 162.244898 50.000000
322.500000 301.425781 161.224490 50.000000
322.500000 301.425781 160.204082 50.000000
322.500000 301.425781 159.183673 50.000000
322.500000 301.425781 158.163265 50.000000
322.500000 301.425781 157.142857 50.000000
322.500000 301.425781 156.122449 50.000000
322.500000 301.425781 155.102041 50.000000
322.500000 301.425781 154.081633 50.000000
322.500000 301.425781 153.061224 50.000000
322.500000 301.425781 152.040816 50.000000
322.500000 301.425781 151.020408 50.000000
322.500000 301.425781 150.000000 50.000000
322.500000 301.425781 150.000000 0.000000
322.457081 300.426842 150.000000 0.013259
322.277366 299.445690 150.000000 0.053001
321.906495 298.518079 150.000000 0.119121
321.399782 297.657149 150.000000 0.211443
320.772862 296.878920 150.000000 0.329723
