X Y
300.000000 400.000000
800.000000 400.000000
800.000000 800.000000
300.000000 800.000000
300.000000 400.000000
NaN NaN
480.000000 680.000000
479.970095 681.894113
479.880411 683.786338
479.731037 685.674788
479.522122 687.557582
479.253873 689.432843
478.926559 691.298700
478.540506 693.153295
478.096098 694.994778
477.593779 696.821314
477.034049 698.631082
476.417467 700.422278
475.744646 702.193117
475.016258 703.941833
474.233028 705.666684
473.395738 707.365950
472.505221 709.037936
471.562367 710.680977
470.568113 712.293434
469.523453 713.873701
468.429426 715.420202
467.287124 716.931394
466.097685 718.405773
464.862295 719.841869
463.582185 721.238249
462.258632 722.593521
460.892954 723.906336
459.486513 725.175384
458.040711 726.399400
456.556989 727.577164
455.036827 728.707502
453.481739 729.789288
451.893276 730.821442
450.273020 731.802937
448.622588 732.732793
446.943625 733.610084
445.237803 734.433935
443.506824 735.203525
441.752413 735.918088
439.976318 736.576910
438.180311 737.179335
436.366181 737.724762
434.535737 738.212648
432.690803 738.642506
430.833219 739.013908
428.964836 739.326484
427.087517 739.579922
425.203133 739.773969
423.313562 739.908433
421.420688 739.983178
419.526398 739.998131
417.632580 739.953276
415.741122 739.848659
413.853909 739.684383
411.972823 739.460612
410.099739 739.177570
408.236523 738.835539
406.385033 738.434858
404.547116 737.975929
402.724601 737.459208
400.919308 736.885211
399.133034 736.254509
397.367561 735.567731
395.624649 734.825562
393.906034 734.028742
392.213431 733.178065
390.548526 732.274379
388.912978 731.318584
387.308419 730.311634
385.736448 729.254533
384.198631 728.148333
382.696501 726.994138
381.231557 725.793098
379.805258 724.546411
378.419026 723.255319
377.074243 721.921109
375.772249 720.545111
374.514342 719.128697
373.301776 717.673278
372.135760 716.180306
371.017457 714.651269
369.947980 713.087691
368.928396 711.491130
367.959721 709.863178
367.042921 708.205458
366.178910 706.519621
365.368549 704.807350
364.612646 703.070350
363.911954 701.310353
363.267172 699.529114
362.678943 697.728407
362.147852 695.910028
361.674430 694.075790
361.259148 692.227521
360.902420 690.367063
360.604601 688.496271
360.365990 686.617010
360.186823 684.731153
360.067278 682.840579
360.007477 680.947175
360.007477 679.052825
360.067278 677.159421
360.186823 675.268847
360.365990 673.382990
360.604601 671.503729
360.902420 669.632937
361.259148 667.772479
361.674430 665.924210
362.147852 664.089972
362.678943 662.271593
363.267172 660.470886
363.911954 658.689647
364.612646 656.929650
365.368549 655.192650
366.178910 653.480379
367.042921 651.794542
367.959721 650.136822
368.928396 648.508870
369.947980 646.912309
371.017457 645.348731
372.135760 643.819694
373.301776 642.326722
374.514342 640.871303
375.772249 639.454889
377.074243 638.078891
378.419026 636.744681
379.805258 635.453589
381.231557 634.206902
382.696501 633.005862
384.198631 631.851667
385.736448 630.745467
387.308419 629.688366
388.912978 628.681416
390.548526 627.725621
392.213431 626.821935
393.906034 625.971258
395.624649 625.174438
397.367561 624.432269
399.133034 623.745491
400.919308 623.114789
402.724601 622.540792
404.547116 622.024071
406.385033 621.565142
408.236523 621.164461
410.099739 620.822430
411.972823 620.539388
413.853909 620.315617
415.741122 620.151341
417.632580 620.046724
419.526398 620.001869
421.420688 620.016822
423.313562 620.091567
425.203133 620.226031
427.087517 620.420078
428.964836 620.673516
430.833219 620.986092
432.690803 621.357494
434.535737 621.787352
436.366181 622.275238
438.180311 622.820665
439.976318 623.423090
441.752413 624.081912
443.506824 624.796475
445.237803 625.566065
446.943625 626.389916
448.622588 627.267207
450.273020 628.197063
451.893276 629.178558
453.481739 630.210712
455.036827 631.292498
456.556989 632.422836
458.040711 633.600600
459.486513 634.824616
460.892954 636.093664
462.258632 637.406479
463.582185 638.761751
464.862295 640.158131
466.097685 641.594227
467.287124 643.068606
468.429426 644.579798
469.523453 646.126299
470.568113 647.706566
471.562367 649.319023
472.505221 650.962064
473.395738 652.634050
474.233028 654.333316
475.016258 656.058167
475.744646 657.806883
476.417467 659.577722
477.034049 661.368918
477.593779 663.178686
478.096098 665.005222
478.540506 666.846705
478.926559 668.701300
479.253873 670.567157
479.522122 672.442418
479.731037 674.325212
479.880411 676.213662
479.970095 678.105887
480.000000 680.000000
NaN NaN
490.000000 460.000000
610.000000 460.000000
610.000000 580.000000
490.000000 580.000000
490.000000 460.000000
NaN NaN
620.000000 645.358984
740.000000 645.358984
680.000000 749.282032
620.000000 645.358984
NaN NaN
