X Y
-120.000000 503.776786
-120.000000 556.223214
-119.998187 556.254083
-119.996732 556.284993
-119.995603 556.315941
-119.994770 556.346922
-119.994200 556.377934
-119.993862 556.408973
-119.993725 556.440035
-119.993757 556.471116
-119.993926 556.502213
-119.994202 556.533322
-119.994552 556.564439
-119.994946 556.595562
-119.995351 556.626686
-119.995737 556.657808
-119.996072 556.688924
-119.996323 556.720030
-119.996461 556.751124
-119.996453 556.782200
-119.996268 556.813256
-119.995874 556.844288
-119.995241 556.875293
-119.994335 556.906266
-119.993127 556.937205
-119.991584 556.968105
-119.989676 556.998963
-119.987369 557.029775
-119.984634 557.060538
-119.981440 557.091248
-119.977775 557.121903
-119.973654 557.152504
-119.969092 557.183051
-119.964107 557.213545
-119.958713 557.243986
-119.952925 557.274375
-119.946761 557.304712
-119.940235 557.334998
-119.933363 557.365233
-119.926162 557.395418
-119.918646 557.425553
-119.910831 557.455639
-119.902734 557.485677
-119.894369 557.515666
-119.885754 557.545607
-119.876902 557.575501
-119.867831 557.605348
-119.858556 557.635150
-119.849093 557.664905
-119.839457 557.694616
-119.829663 557.724281
-119.819729 557.753903
-119.809670 557.783481
-119.799500 557.813015
-119.789237 557.842507
-119.778895 557.871957
-119.768476 557.901362
-119.757968 557.930718
-119.747361 557.960020
-119.736644 557.989263
-119.725805 558.018441
-119.714834 558.047551
-119.703720 558.076588
-119.692451 558.105546
-119.681016 558.134422
-119.669404 558.163209
-119.657604 558.191903
-119.645606 558.220500
-119.633397 558.248994
-119.620968 558.277381
-119.608306 558.305656
-119.595400 558.333814
-119.582241 558.361850
-119.568816 558.389759
-119.555114 558.417537
-119.541125 558.445179
-119.526837 558.472680
-119.512240 558.500035
-119.497321 558.527239
-119.482072 558.554287
-119.466492 558.581171
-119.450581 558.607884
-119.434340 558.634418
-119.417771 558.660765
-119.400873 558.686916
-119.383648 558.712864
-119.366098 558.738600
-119.348222 558.764117
-119.330021 558.789407
-119.311498 558.814462
-119.292651 558.839273
-119.273483 558.863834
-119.253995 558.888135
-119.234186 558.912169
-119.214059 558.935927
-119.193613 558.959403
-119.172851 558.982587
-119.151772 559.005473
-119.130378 559.028051
-119.108669 559.050314
-119.086647 559.072254
-119.064312 559.093864
-119.041670 559.115140
-119.018728 559.136087
-118.995495 559.156709
-118.971982 559.177012
-118.948196 559.197000
-118.924147 559.216677
-118.899843 559.236047
-118.875294 559.255116
-118.850508 559.273888
-118.825495 559.292368
-118.800263 559.310560
-118.774822 559.328468
-118.749180 559.346098
-118.723346 559.363453
-118.697330 559.380539
-118.671140 559.397360
-118.644785 559.413921
-118.618275 559.430225
-118.591617 559.446279
-118.564822 559.462085
-118.537898 559.477650
-118.510854 559.492976
-118.483697 559.508070
-118.456430 559.522933
-118.429054 559.537569
-118.401571 559.551980
-118.373982 559.566169
-118.346289 559.580139
-118.318493 559.593893
-118.290595 559.607435
-118.262598 559.620766
-118.234502 559.633889
-118.206309 559.646808
-118.178020 559.659525
-118.149638 559.672044
-118.121163 559.684366
-118.092597 559.696496
-118.063941 559.708435
-118.035198 559.720187
-118.006368 559.731754
-117.977452 559.743140
-117.948453 559.754347
-117.919372 559.765378
-117.890210 559.776236
-117.860969 559.786924
-117.831650 559.797445
-117.802255 559.807793
-117.772785 559.817959
-117.743242 559.827934
-117.713627 559.837708
-117.683942 559.847271
-117.654189 559.856614
-117.624369 559.865727
-117.594483 559.874600
-117.564533 559.883225
-117.534520 559.891590
-117.504447 559.899686
-117.474314 559.907505
-117.444123 559.915036
-117.413876 559.922269
-117.383573 559.929195
-117.353218 559.935804
-117.322811 559.942087
-117.292353 559.948034
-117.261847 559.953634
-117.231293 559.958880
-117.200694 559.963761
-117.170050 559.968267
-117.139364 559.972388
-117.108637 559.976116
-117.077870 559.979440
-117.047065 559.982352
-117.016224 559.984868
-116.985350 559.987013
-116.954445 559.988815
-116.923511 559.990301
-116.892551 559.991499
-116.861568 559.992436
-116.830563 559.993139
-116.799540 559.993634
-116.768500 559.993951
-116.737447 559.994115
-116.706383 559.994154
-116.675309 559.994095
-116.644229 559.993965
-116.613146 559.993792
-116.582061 559.993604
-116.550976 559.993426
-116.519896 559.993287
-116.488821 559.993213
-116.457755 559.993232
-116.426699 559.993372
-116.395657 559.993659
-116.364631 559.994120
-116.333622 559.994783
-116.302635 559.995676
-116.271671 559.996824
-116.240732 559.998257
-116.209821 560.000000
-101.571429 560.000000
-101.422564 559.994810
-101.273588 559.991274
-101.124523 559.989060
-100.975393 559.987839
-100.826217 559.987277
-100.677020 559.987044
-100.527823 559.986809
-100.378649 559.986240
-100.229519 559.985005
-100.080456 559.982775
-99.931481 559.979217
-99.782618 559.974000
-99.633888 559.966792
-99.485313 559.957277
-99.336903 559.945381
-99.188657 559.931248
-99.040574 559.915027
-98.892653 559.896868
-98.744893 559.876921
-98.597294 559.855335
-98.449855 559.832260
-98.302575 559.807846
-98.155452 559.782242
-98.008486 559.755599
-97.861676 559.728065
-97.715022 559.699791
-97.568522 559.670925
-97.422179 559.641538
-97.276001 559.611590
-97.129997 559.581036
-96.984175 559.549828
-96.838544 559.517920
-96.693112 559.485265
-96.547887 559.451816
-96.402878 559.417527
-96.258094 559.382350
-96.113543 559.346240
-95.969233 559.309149
-95.825173 559.271030
-95.681371 559.231838
-95.537844 559.191541
-95.394613 559.150116
-95.251699 559.107543
-95.109125 559.063802
-94.966913 559.018872
-94.825083 558.972731
-94.683659 558.925359
-94.542662 558.876736
-94.402113 558.826840
-94.262034 558.775651
-94.122447 558.723148
-93.983375 558.669310
-93.844836 558.614122
-93.706837 558.557598
-93.569386 558.499756
-93.432485 558.440616
-93.296141 558.380198
-93.160358 558.318521
-93.025142 558.255606
-92.890498 558.191471
-92.756430 558.126136
-92.622944 558.059621
-92.490045 557.991945
-92.357737 557.923129
-92.226027 557.853191
-92.094916 557.782149
-91.964409 557.710015
-91.834507 557.636805
-91.705211 557.562531
-91.576525 557.487207
-91.448450 557.410848
-91.320989 557.333466
-91.194143 557.255076
-91.067915 557.175691
-90.942308 557.095325
-90.817322 557.013992
-90.692961 556.931705
-90.569227 556.848476
-90.446132 556.764307
-90.323687 556.679197
-90.201903 556.593145
-90.080792 556.506151
-89.960367 556.418214
-89.840639 556.329333
-89.721619 556.239508
-89.603321 556.148738
-89.485754 556.057022
-89.368932 555.964360
-89.252866 555.870750
-89.137567 555.776194
-89.023044 555.680695
-88.909295 555.584270
-88.796320 555.486934
-88.684120 555.388704
-88.572693 555.289597
-88.462039 555.189627
-88.352158 555.088812
-88.243050 554.987167
-88.134713 554.884709
-88.027147 554.781453
-87.920352 554.677417
-87.814328 554.572616
-87.709073 554.467066
-87.604575 554.360786
-87.500816 554.253796
-87.397775 554.146117
-87.295433 554.037768
-87.193772 553.928770
-87.092770 553.819144
-86.992410 553.708908
-86.892671 553.598084
-86.793534 553.486691
-86.694979 553.374751
-86.596988 553.262282
-86.499540 553.149306
-86.402632 553.035832
-86.306328 552.921826
-86.210713 552.807243
-86.115868 552.692036
-86.021877 552.576158
-85.928823 552.459564
-85.836791 552.342208
-85.745862 552.224044
-85.656120 552.105025
-85.567649 551.985105
-85.480532 551.864238
-85.394851 551.742379
-85.310685 551.619484
-85.228019 551.495571
-85.146763 551.370707
-85.066825 551.244961
-84.988115 551.118401
-84.910539 550.991094
-84.834006 550.863109
-84.758425 550.734514
-84.683704 550.605377
-84.609750 550.475767
