X Y
310.000000 301.445313
310.002095 301.654282
310.004691 301.863244
310.007622 302.072202
310.010723 302.281157
310.013829 302.490113
310.016775 302.699070
310.019395 302.908032
310.021524 303.117001
310.022998 303.325979
310.023689 303.534968
310.023731 303.743965
310.023357 303.952967
310.022803 304.161969
310.022302 304.370967
310.022091 304.579957
310.022403 304.788936
310.023474 304.997898
310.025538 305.206841
310.028830 305.415759
310.033506 305.624652
310.039406 305.833521
310.046286 306.042373
310.053904 306.251212
310.062017 306.460044
310.070382 306.668874
310.078757 306.877707
310.086899 307.086549
310.094564 307.295405
310.101512 307.504279
310.107498 307.713178
310.112376 307.922103
310.116291 308.131052
310.119446 308.340018
310.122044 308.548996
310.124287 308.757981
310.126379 308.966967
310.128521 309.175949
310.130916 309.384921
310.133768 309.593877
310.137278 309.802813
310.141650 310.011723
310.147086 310.220601
310.153688 310.429445
310.161324 310.638259
310.169830 310.847048
310.179037 311.055818
310.188782 311.264573
310.198897 311.473319
310.209218 311.682062
310.219577 311.890805
310.229809 312.099555
310.239748 312.308316
310.249229 312.517095
310.258085 312.725895
310.266151 312.934723
310.273353 313.143580
310.279801 313.352463
310.285622 313.561366
310.290946 313.770286
310.295903 313.979217
310.300622 314.188154
310.305231 314.397094
310.309860 314.606032
310.314639 314.814963
310.319696 315.023881
310.325162 315.232784
310.331164 315.441665
310.337832 315.650521
310.345295 315.859347
310.353604 316.068140
310.362666 316.276906
310.372378 316.485646
310.382634 316.694367
310.393328 316.903072
310.404355 317.111766
310.415609 317.320451
310.426986 317.529133
310.438379 317.737816
310.449684 317.946503
310.460795 318.155199
310.471606 318.363909
310.482013 318.572635
310.491909 318.781383
310.501191 318.990157
310.509819 319.198957
310.517871 319.407781
310.525438 319.616625
310.532611 319.825484
310.539480 320.034356
310.546135 320.243236
310.552668 320.452121
310.559168 320.661007
310.565727 320.869890
310.572435 321.078765
310.579383 321.287630
310.586660 321.496481
310.594359 321.705314
310.602569 321.914124
310.611380 322.122908
310.620879 322.331663
310.631050 322.540390
310.641799 322.749091
310.653024 322.957772
310.664627 323.166436
310.676508 323.375088
310.688568 323.583732
310.700706 323.792373
310.712824 324.001013
310.724822 324.209658
310.736600 324.418312
310.748060 324.626979
310.759100 324.835662
310.769623 325.044367
310.779527 325.253098
310.788715 325.461858
310.797109 325.670651
310.804770 325.879474
310.811805 326.088324
310.818322 326.297195
310.824430 326.506085
310.830237 326.714987
310.835852 326.923899
310.841382 327.132815
310.846935 327.341732
310.852621 327.550645
310.858546 327.759549
310.864821 327.968441
310.871551 328.177317
310.878847 328.386171
310.886815 328.595000
310.895540 328.803800
310.904952 329.012573
310.914919 329.221325
310.925311 329.430060
310.935995 329.638782
310.946842 329.847497
310.957719 330.056209
310.968497 330.264923
310.979043 330.473642
310.989227 330.682373
310.998917 330.891120
311.007982 331.099887
311.016292 331.308679
311.023715 331.517501
311.030154 331.726357
311.035700 331.935242
311.040515 332.144154
311.044758 332.353086
311.048590 332.562033
311.052171 332.770991
311.055662 332.979953
311.059223 333.188916
311.063015 333.397875
311.067197 333.606823
311.071930 333.815756
311.077374 334.024670
311.083690 334.233558
311.090991 334.442417
311.099148 334.651251
311.107954 334.860065
311.117201 335.068863
311.126681 335.277653
311.136188 335.486438
311.145513 335.695225
311.154450 335.904019
311.162789 336.112825
311.170325 336.321648
311.176849 336.530495
311.182154 336.739370
311.186105 336.948277
311.188874 337.157213
311.190719 337.366172
311.191896 337.575149
311.192661 337.784139
311.193271 337.993136
311.193983 338.202135
311.195052 338.411130
311.196736 338.620116
311.199290 338.829087
311.202971 339.038039
311.207919 339.246967
311.213893 339.455876
311.220574 339.664771
311.227645 339.873655
311.234787 340.082534
311.241682 340.291413
311.248012 340.500296
311.253459 340.709189
311.257704 340.918096
311.260431 341.127022
311.261507 341.335970
311.261217 341.544936
311.259908 341.753914
311.257925 341.962902
311.255614 342.171893
311.253320 342.380885
311.251390 342.589871
311.250168 342.798849
311.250000 343.007813
311.250000 364.863281
311.252078 365.020172
311.254650 365.177054
311.257552 365.333930
311.260624 365.490802
311.263702 365.647675
311.266624 365.804550
311.269227 365.961431
311.271349 366.118322
311.272828 366.275224
311.273539 366.432140
311.273610 366.589068
311.273272 366.746002
311.272759 366.902935
311.272302 367.059864
311.272136 367.216783
311.272492 367.373685
311.273602 367.530567
311.275700 367.687422
311.279017 367.844245
311.283710 368.001033
311.289618 368.157791
311.296500 368.314525
311.304113 368.471243
311.312216 368.627951
311.320567 368.784657
311.328926 368.941367
311.337049 369.098088
311.344697 369.254827
311.351626 369.411592
311.357596 369.568389
311.362466 369.725221
311.366386 369.882084
311.369556 370.038970
311.372177 370.195872
311.374449 370.352782
311.376573 370.509694
311.378749 370.666600
311.381178 370.823493
311.384060 370.980366
311.387595 371.137212
311.391985 371.294024
311.397429 371.450793
311.404025 371.607518
311.411641 371.764204
311.420114 371.920857
311.429279 372.077484
311.438973 372.234092
311.449032 372.390689
311.459293 372.547280
311.469591 372.703873
311.479763 372.860475
311.489644 373.017092
311.499072 373.173731
311.507882 373.330399
311.515912 373.487103
311.523086 373.643846
311.529513 373.800622
311.535320 373.957426
311.540636 374.114251
311.545588 374.271091
311.550305 374.427939
311.554915 374.584791
311.559546 374.741639
311.564327 374.898478
311.569386 375.055302
311.574850 375.212103
311.580848 375.368877
311.587509 375.525617
311.594960 375.682316
311.603257 375.838973
311.612312 375.995592
311.622019 376.152179
311.632272 376.308739
311.642965 376.465277
311.653993 376.621800
311.665248 376.778312
311.676626 376.934820
311.688021 377.091329
311.699326 377.247843
311.710435 377.404370
311.721243 377.560915
311.731643 377.717482
311.741530 377.874078
311.750798 378.030708
311.759397 378.187375
311.767401 378.344074
311.774903 378.500800
311.781997 378.657549
311.788775 378.814314
311.795329 378.971091
311.801752 379.127874
311.808138 379.284659
311.814578 379.441440
311.821166 379.598212
311.827994 379.754970
311.835156 379.911708
311.842743 380.068422
311.850849 380.225106
311.859567 380.381755
311.868986 380.538364
311.879110 380.694933
311.889843 380.851467
311.901081 381.007972
311.912722 381.164454
311.924663 381.320918
311.936801 381.477370
311.949033 381.633817
311.961257 381.790263
311.973370 381.946714
311.985269 382.103177
311.996851 382.259656
312.008013 382.416159
312.018653 382.572689
312.028668 382.729254
312.037955 382.885859
312.046423 383.042509
312.054106 383.199202
312.061117 383.355932
312.067570 383.512694
312.073576 383.669481
312.079250 383.826288
312.084704 383.983108
312.090052 384.139936
312.095407 384.296765
312.100882 384.453589
312.106590 384.610403
312.112644 384.767201
312.119157 384.923976
312.126243 385.080722
312.134015 385.237434
312.142575 385.394107
312.151885 385.550741
312.161811 385.707343
312.172216 385.863919
312.182965 386.020477
312.193920 386.177023
312.204947 386.333562
312.215908 386.490102
312.226668 386.646649
312.237090 386.803209
312.247037 386.959790
312.256375 387.116397
312.264966 387.273037
312.272674 387.429717
312.279377 387.586442
312.285119 387.743211
312.290064 387.900017
312.294376 388.056853
312.298219 388.213712
312.301758 388.370587
312.305157 388.527471
312.308582 388.684358
312.312196 388.841240
312.316165 388.998110
312.320653 389.154961
312.325823 389.311788
312.331842 389.468581
312.338854 389.625337
312.346786 389.782055
312.355432 389.938745
312.364581 390.095412
312.374025 390.252065
312.383554 390.408710
312.392958 390.565355
312.402029 390.722008
312.410558 390.878675
312.418334 391.035364
312.425149 391.192082
312.430793 391.348837
312.435091 391.505634
312.438156 391.662472
312.440243 391.819342
312.441609 391.976238
312.442509 392.133152
312.443201 392.290077
312.443941 392.447007
312.444984 392.603932
312.446588 392.760848
312.449008 392.917745
312.452501 393.074618
312.457257 393.231459
312.463088 393.388274
312.469673 393.545067
312.476693 393.701846
312.483826 393.858618
312.490751 394.015388
