X Y Z V C
701.250234 305.881544 200.000000 0.000000 0
701.250234 305.881544 200.000000 50.000000 0
701.250234 305.881544 198.979592 50.000000 0
701.250234 305.881544 197.959184 50.000000 0
701.250234 305.881544 196.938776 50.000000 0
701.250234 305.881544 195.918367 50.000000 0
701.250234 305.881544 194.897959 50.000000 0
701.250234 305.881544 193.877551 50.000000 0
701.250234 305.881544 192.857143 50.000000 0
701.250234 305.881544 191.836735 50.000000 0
701.250234 305.881544 190.816327 50.000000 0
701.250234 305.881544 189.795918 50.000000 0
701.250234 305.881544 188.775510 50.000000 0
701.250234 305.881544 187.755102 50.000000 0
701.250234 305.881544 186.734694 50.000000 0
701.250234 305.881544 185.714286 50.000000 0
701.250234 305.881544 184.693878 50.000000 0
701.250234 305.881544 183.673469 50.000000 0
701.250234 305.881544 182.653061 50.000000 0
701.250234 305.881544 181.632653 50.000000 0
701.250234 305.881544 180.612245 50.000000 0
701.250234 305.881544 179.591837 50.000000 0
701.250234 305.881544 178.571429 50.000000 0
701.250234 305.881544 177.551020 50.000000 0
701.250234 305.881544 176.530612 50.000000 0
701.250234 305.881544 175.510204 50.000000 0
701.250234 305.881544 174.489796 50.000000 0
701.250234 305.881544 173.469388 50.000000 0
701.250234 305.881544 172.448980 50.000000 0
701.250234 305.881544 171.428571 50.000000 0
701.250234 305.881544 170.408163 50.000000 0
701.250234 305.881544 169.387755 50.000000 0
701.250234 305.881544 168.367347 50.000000 0
701.250234 305.881544 167.346939 50.000000 0
701.250234 305.881544 166.326531 50.000000 0
701.250234 305.881544 165.306122 50.000000 0
701.250234 305.881544 164.285714 50.000000 0
701.250234 305.881544 163.265306 50.000000 0
701.250234 305.881544 162.244898 50.000000 0
701.250234 305.881544 161.224490 50.000000 0
701.250234 305.881544 160.204082 50.000000 0
701.250234 305.881544 159.183673 50.000000 0
701.250234 305.881544 158.163265 50.000000 0
701.250234 305.881544 157.142857 50.000000 0
701.250234 305.881544 156.122449 50.000000 0
701.250234 305.881544 155.102041 50.000000 0
701.250234 305.881544 154.081633 50.000000 0
701.250234 305.881544 153.061224 50.000000 0
701.250234 305.881544 152.040816 50.000000 0
701.250234 305.881544 151.020408 50.000000 0
701.250234 305.881544 150.000000 50.000000 0
701.250234 305.881544 150.000000 0.000000 1
701.251519 305.681548 150.000000 0.000018 1
701.252804 305.481552 150.000000 0.000072 1
701.254088 305.281556 150.000000 0.000163 1
701.255373 305.081560 150.000000 0.000289 1
701.256658 304.881564 150.000000 0.000452 1
701.257943 304.681568 150.000000 0.000650 1
701.259228 304.481573 150.000000 0.000885 1
701.271105 304.282007 150.000000 0.001156 1
701.286054 304.082567 150.000000 0.001463 1
701.301003 303.883126 150.000000 0.001806 1
701.321321 303.684288 150.000000 0.002185 1
701.350923 303.486491 150.000000 0.002601 1
701.380525 303.288693 150.000000 0.003052 1
701.410128 303.090896 150.000000 0.003540 1
701.439730 302.893099 150.000000 0.004063 1
701.469332 302.695302 150.000000 0.004623 1
701.498934 302.497505 150.000000 0.005219 1
701.528536 302.299708 150.000000 0.005851 1
701.558138 302.101910 150.000000 0.006519 1
701.587740 301.904113 150.000000 0.007223 1
701.617342 301.706316 150.000000 0.007964 1
701.650096 301.509098 150.000000 0.008740 1
701.692747 301.313699 150.000000 0.009552 1
701.735397 301.118299 150.000000 0.010401 1
701.788581 300.925640 150.000000 0.011286 1
701.846565 300.734230 150.000000 0.012206 1
701.909236 300.544393 150.000000 0.013163 1
701.978478 300.356762 150.000000 0.014156 1
702.047720 300.169130 150.000000 0.015185 1
702.119949 299.982650 150.000000 0.016250 1
702.194474 299.797053 150.000000 0.017351 1
702.268998 299.611456 150.000000 0.018488 1
702.343523 299.425860 150.000000 0.019661 1
702.418048 299.240263 150.000000 0.020870 1
702.493826 299.055207 150.000000 0.022116 1
702.577602 298.873599 150.000000 0.023397 1
702.661377 298.691990 150.000000 0.024714 1
702.756533 298.516152 150.000000 0.026068 1
702.853518 298.341241 150.000000 0.027457 1
702.958788 298.171377 150.000000 0.028883 1
703.069744 298.004978 150.000000 0.030344 1
703.180701 297.838579 150.000000 0.031841 1
703.293199 297.673269 150.000000 0.033375 1
703.412980 297.513105 150.000000 0.034944 1
703.532761 297.352941 150.000000 0.036550 1
703.652542 297.192777 150.000000 0.038191 1
703.772323 297.032613 150.000000 0.039869 1
703.900933 296.879742 150.000000 0.041582 1
704.035610 296.731884 150.000000 0.043331 1
704.170923 296.584685 150.000000 0.045117 1
704.323480 296.455354 150.000000 0.046938 1
704.476036 296.326023 150.000000 0.048795 1
704.634132 296.203624 150.000000 0.050688 1
704.793929 296.083353 150.000000 0.052618 1
704.953725 295.963082 150.000000 0.054583 1
705.113521 295.842811 150.000000 0.056584 1
705.280429 295.733428 150.000000 0.058620 1
705.454793 295.635464 150.000000 0.060693 1
705.628315 295.536058 150.000000 0.062802 1
705.799262 295.432244 150.000000 0.064947 1
705.970208 295.328431 150.000000 0.067127 1
706.141155 295.224617 150.000000 0.069343 1
706.312102 295.120804 150.000000 0.071596 1
706.484288 295.019154 150.000000 0.073884 1
706.660302 294.924185 150.000000 0.076208 1
706.836359 294.829303 150.000000 0.078567 1
707.019132 294.748100 150.000000 0.080963 1
707.202044 294.667247 150.000000 0.083394 1
707.390678 294.600783 150.000000 0.085862 1
707.579311 294.534320 150.000000 0.088365 1
707.771115 294.477916 150.000000 0.090904 1
707.963767 294.424201 150.000000 0.093478 1
708.157816 294.376064 150.000000 0.096089 1
708.353044 294.332637 150.000000 0.098735 1
708.548273 294.289211 150.000000 0.101417 1
708.744734 294.251900 150.000000 0.104135 1
708.941543 294.216314 150.000000 0.106888 1
709.138351 294.180729 150.000000 0.109678 1
709.335160 294.145143 150.000000 0.112503 1
709.531968 294.109557 150.000000 0.115363 1
709.729403 294.077699 150.000000 0.118260 1
709.927044 294.047069 150.000000 0.121192 1
710.124684 294.016439 150.000000 0.124159 1
710.322325 293.985808 150.000000 0.127163 1
710.520199 293.956871 150.000000 0.130202 1
710.718753 293.932864 150.000000 0.133277 1
710.917306 293.908856 150.000000 0.136387 1
711.115860 293.884848 150.000000 0.139533 1
711.314837 293.865055 150.000000 0.142715 1
711.514200 293.849095 150.000000 0.145932 1
711.713562 293.833135 150.000000 0.149185 1
711.912945 293.817531 150.000000 0.152473 1
712.112794 293.809771 150.000000 0.155797 1
712.312644 293.802010 150.000000 0.159156 1
712.512493 293.794249 150.000000 0.162552 1
712.712406 293.788690 150.000000 0.165982 1
712.912370 293.784886 150.000000 0.169448 1
713.112334 293.781082 150.000000 0.172950 1
713.312298 293.777278 150.000000 0.176487 1
713.512262 293.773473 150.000000 0.180060 1
713.712225 293.769669 150.000000 0.183668 1
713.912189 293.765865 150.000000 0.187311 1
714.112153 293.762061 150.000000 0.190990 1
714.312117 293.758256 150.000000 0.194705 1
714.512081 293.754452 150.000000 0.198454 1
714.712044 293.750648 150.000000 0.202240 1
714.912031 293.751596 150.000000 0.206060 1
715.112021 293.753520 150.000000 0.209916 1
715.312012 293.755444 150.000000 0.213808 1
715.512003 293.757368 150.000000 0.217734 1
715.711994 293.759292 150.000000 0.221696 1
715.911984 293.761216 150.000000 0.225694 1
716.111975 293.763140 150.000000 0.229726 1
716.311966 293.765064 150.000000 0.233794 1
716.511957 293.766988 150.000000 0.237898 1
716.711947 293.768912 150.000000 0.242036 1
716.911938 293.770837 150.000000 0.246210 1
717.111929 293.772761 150.000000 0.250419 1
717.311808 293.779109 150.000000 0.254663 1
717.511644 293.787222 150.000000 0.258942 1
717.711479 293.795335 150.000000 0.263257 1
717.911315 293.803448 150.000000 0.267607 1
718.111150 293.811560 150.000000 0.271992 1
718.310985 293.819673 150.000000 0.276412 1
718.510811 293.827989 150.000000 0.280867 1
718.710453 293.839945 150.000000 0.285357 1
718.910095 293.851901 150.000000 0.289883 1
719.109738 293.863857 150.000000 0.294443 1
719.309380 293.875813 150.000000 0.299038 1
719.509022 293.887769 150.000000 0.303669 1
719.708664 293.899725 150.000000 0.308334 1
719.908307 293.911681 150.000000 0.313035 1
720.107949 293.923638 150.000000 0.317771 1
720.307591 293.935594 150.000000 0.322541 1
720.507234 293.947550 150.000000 0.327347 1
720.706876 293.959506 150.000000 0.332187 1
720.906518 293.971462 150.000000 0.337062 1
721.106111 293.984177 150.000000 0.341973 1
721.305602 293.998434 150.000000 0.346918 1
721.505093 294.012691 150.000000 0.351898 1
721.704584 294.026948 150.000000 0.356913 1
721.904076 294.041205 150.000000 0.361962 1
722.103567 294.055462 150.000000 0.367047 1
722.302967 294.070831 150.000000 0.372166 1
722.502126 294.089157 150.000000 0.377320 1
722.701284 294.107484 150.000000 0.382509 1
722.900443 294.125811 150.000000 0.387732 1
723.099601 294.144137 150.000000 0.392991 1
723.298760 294.162464 150.000000 0.398284 1
723.497565 294.184230 150.000000 0.403611 1
723.696295 294.206739 150.000000 0.408974 1
723.895024 294.229247 150.000000 0.414371 1
724.093754 294.251756 150.000000 0.419802 1
724.292483 294.274265 150.000000 0.425268 1
724.491212 294.296773 150.000000 0.430769 1
724.689942 294.319282 150.000000 0.436304 1
724.888671 294.341791 150.000000 0.441874 1
725.087400 294.364299 150.000000 0.447479 1
725.286130 294.386808 150.000000 0.453118 1
725.484859 294.409317 150.000000 0.458791 1
725.683589 294.431825 150.000000 0.464499 1
725.882318 294.454334 150.000000 0.470241 1
726.081047 294.476842 150.000000 0.476018 1
726.279777 294.499351 150.000000 0.481829 1
726.478506 294.521860 150.000000 0.487674 1
726.677235 294.544368 150.000000 0.493554 1
726.875965 294.566877 150.000000 0.499469 1
727.074694 294.589386 150.000000 0.505417 1
727.273423 294.611894 150.000000 0.511400 1
727.472153 294.634403 150.000000 0.517417 1
727.670882 294.656912 150.000000 0.523468 1
727.869612 294.679420 150.000000 0.529554 1
728.068341 294.701929 150.000000 0.535674 1
