X Y Z CUT_FLAG
0.310000 0.301445 0.000000 1
0.310029 0.305416 0.000000 1
0.310107 0.307713 0.000000 1
0.310154 0.310429 0.000000 1
0.310266 0.312935 0.000000 1
0.310354 0.316068 0.000000 1
0.310501 0.318990 0.000000 1
0.310621 0.322332 0.000000 1
0.310797 0.325671 0.000000 1
0.310887 0.328595 0.000000 1
0.311024 0.331518 0.000000 1
0.311084 0.334234 0.000000 1
0.311182 0.336739 0.000000 1
0.311199 0.338829 0.000000 1
0.311262 0.341336 0.000000 1
0.311250 0.343008 0.000000 1
0.311250 0.364863 0.000000 1
0.311279 0.367844 0.000000 1
0.311358 0.369568 0.000000 1
0.311397 0.371451 0.000000 1
0.311516 0.373487 0.000000 1
0.311603 0.375839 0.000000 1
0.311751 0.378031 0.000000 1
0.311869 0.380538 0.000000 1
0.312038 0.382886 0.000000 1
0.312134 0.385237 0.000000 1
0.312273 0.387430 0.000000 1
0.312332 0.389469 0.000000 1
0.312431 0.391349 0.000000 1
0.312453 0.393075 0.000000 1
0.312510 0.394643 0.000000 1
0.312500 0.396055 0.000000 1
0.312550 0.397221 0.000000 1
0.312598 0.397571 0.000000 1
0.312692 0.397966 0.000000 1
0.312835 0.398402 0.000000 1
0.313024 0.398875 0.000000 1
0.313218 0.399289 0.000000 1
0.313415 0.399643 0.000000 1
0.313639 0.399982 0.000000 1
0.313889 0.400303 0.000000 1
0.314161 0.400605 0.000000 1
0.314490 0.400922 0.000000 1
0.314840 0.401216 0.000000 1
0.315207 0.401489 0.000000 1
0.315588 0.401740 0.000000 1
0.315941 0.401941 0.000000 1
0.316309 0.402115 0.000000 1
0.316690 0.402257 0.000000 1
0.317083 0.402364 0.000000 1
0.317484 0.402432 0.000000 1
0.318750 0.402500 0.000000 1
0.319814 0.402462 0.000000 1
0.320064 0.402434 0.000000 1
0.320311 0.402385 0.000000 1
0.320652 0.402286 0.000000 1
0.321082 0.402124 0.000000 1
0.321597 0.401900 0.000000 1
0.322003 0.401691 0.000000 1
0.322301 0.401504 0.000000 1
0.322543 0.401322 0.000000 1
0.322809 0.401088 0.000000 1
0.323133 0.400764 0.000000 1
0.323511 0.400350 0.000000 1
0.323800 0.399998 0.000000 1
0.324035 0.399669 0.000000 1
0.324243 0.399323 0.000000 1
0.324470 0.398869 0.000000 1
0.324665 0.398398 0.000000 1
0.324809 0.397963 0.000000 1
0.324903 0.397569 0.000000 1
0.324946 0.397269 0.000000 1
0.324966 0.396966 0.000000 1
0.325000 0.396055 0.000000 1
0.325011 0.394944 0.000000 1
0.325003 0.394310 0.000000 1
0.324950 0.392882 0.000000 1
0.324926 0.391137 0.000000 1
0.324833 0.389394 0.000000 1
0.324773 0.387333 0.000000 1
0.324636 0.385115 0.000000 1
0.324548 0.382896 0.000000 1
0.324370 0.380363 0.000000 1
0.324251 0.377827 0.000000 1
0.324095 0.375453 0.000000 1
0.324016 0.373233 0.000000 1
0.323897 0.371173 0.000000 1
0.323857 0.369270 0.000000 1
0.323779 0.367526 0.000000 1
0.323750 0.364512 0.000000 1
0.323750 0.347852 0.000000 1
0.352910 0.353047 0.000000 1
0.355992 0.353584 0.000000 1
0.358491 0.353990 0.000000 1
0.362913 0.354635 0.000000 1
0.365273 0.354961 0.000000 1
0.367491 0.355232 0.000000 1
0.370304 0.355542 0.000000 1
0.372528 0.355752 0.000000 1
0.376688 0.356050 0.000000 1
0.378472 0.356160 0.000000 1
0.379663 0.356204 0.000000 1
0.382344 0.356250 0.000000 1
0.382432 0.362185 0.000000 1
0.382506 0.376083 0.000000 1
0.382500 0.385059 0.000000 1
0.382539 0.387108 0.000000 1
0.382567 0.387738 0.000000 1
0.382616 0.388366 0.000000 1
0.382692 0.389045 0.000000 1
0.382801 0.389827 0.000000 1
0.382952 0.390762 0.000000 1
0.383105 0.391589 0.000000 1
0.383258 0.392308 0.000000 1
0.383433 0.393023 0.000000 1
0.384082 0.395352 0.000000 1
0.384462 0.396652 0.000000 1
0.384644 0.397171 0.000000 1
0.384884 0.397722 0.000000 1
0.385616 0.399267 0.000000 1
0.385805 0.399619 0.000000 1
0.385989 0.399916 0.000000 1
0.386340 0.400406 0.000000 1
0.386813 0.400997 0.000000 1
0.387120 0.401329 0.000000 1
0.387420 0.401590 0.000000 1
0.387794 0.401840 0.000000 1
0.388369 0.402162 0.000000 1
0.388736 0.402333 0.000000 1
0.389021 0.402422 0.000000 1
0.389316 0.402464 0.000000 1
0.390020 0.402500 0.000000 1
0.391021 0.402447 0.000000 1
0.391368 0.402400 0.000000 1
0.391758 0.402303 0.000000 1
0.392138 0.402168 0.000000 1
0.392506 0.402005 0.000000 1
0.392905 0.401794 0.000000 1
0.393290 0.401558 0.000000 1
0.393701 0.401270 0.000000 1
0.394055 0.400989 0.000000 1
0.394567 0.400509 0.000000 1
0.394803 0.400249 0.000000 1
0.395056 0.399937 0.000000 1
0.395291 0.399611 0.000000 1
0.395481 0.399316 0.000000 1
0.395654 0.399010 0.000000 1
0.395809 0.398695 0.000000 1
0.396026 0.398130 0.000000 1
0.396158 0.397594 0.000000 1
0.396209 0.397146 0.000000 1
0.396250 0.396094 0.000000 1
0.396192 0.395107 0.000000 1
0.396141 0.394708 0.000000 1
0.396060 0.394371 0.000000 1
0.395805 0.393487 0.000000 1
0.395452 0.391977 0.000000 1
0.395311 0.391209 0.000000 1
0.395231 0.390596 0.000000 1
0.395165 0.389899 0.000000 1
0.395058 0.388215 0.000000 1
0.395030 0.387270 0.000000 1
0.395000 0.385254 0.000000 1
0.395010 0.371713 0.000000 1
0.394953 0.369733 0.000000 1
0.394932 0.367554 0.000000 1
0.394834 0.365179 0.000000 1
0.394774 0.362605 0.000000 1
0.394637 0.359835 0.000000 1
0.394548 0.357063 0.000000 1
0.394370 0.353899 0.000000 1
0.394251 0.350731 0.000000 1
0.394094 0.347764 0.000000 1
0.394015 0.344992 0.000000 1
0.393897 0.342420 0.000000 1
0.393856 0.340043 0.000000 1
0.393776 0.337667 0.000000 1
0.393750 0.334102 0.000000 1
0.393773 0.332735 0.000000 1
0.393774 0.331519 0.000000 1
0.393858 0.329547 0.000000 1
0.393893 0.327876 0.000000 1
0.394017 0.325753 0.000000 1
0.394105 0.323476 0.000000 1
0.394252 0.321355 0.000000 1
0.394373 0.318927 0.000000 1
0.394531 0.316806 0.000000 1
0.394638 0.314378 0.000000 1
0.394775 0.312256 0.000000 1
0.394828 0.310434 0.000000 1
0.394932 0.308462 0.000000 1
0.394950 0.306943 0.000000 1
0.395010 0.305273 0.000000 1
0.395000 0.303906 0.000000 1
0.394962 0.302947 0.000000 1
0.394931 0.302596 0.000000 1
0.394857 0.302200 0.000000 1
0.394730 0.301762 0.000000 1
0.394487 0.301149 0.000000 1
0.394213 0.300608 0.000000 1
0.393917 0.300139 0.000000 1
0.393545 0.299661 0.000000 1
0.393240 0.299322 0.000000 1
0.392917 0.299000 0.000000 1
0.392612 0.298734 0.000000 1
0.392288 0.298494 0.000000 1
0.391945 0.298283 0.000000 1
0.391586 0.298098 0.000000 1
0.391075 0.297871 0.000000 1
0.390647 0.297710 0.000000 1
0.390356 0.297625 0.000000 1
0.390110 0.297573 0.000000 1
0.389609 0.297528 0.000000 1
0.388750 0.297500 0.000000 1
0.387743 0.297536 0.000000 1
0.387298 0.297600 0.000000 1
0.386959 0.297695 0.000000 1
0.386627 0.297817 0.000000 1
