X Y Z CORTAR
490.000000 460.000000 0.000 1
610.000000 460.000000 0.000 1
610.000000 580.000000 0.000 1
NaN NaN NaN NaN
300.000000 400.000000 0.000 1
800.000000 400.000000 0.000 1
800.000000 800.000000 0.000 1
300.000000 800.000000 0.000 1
300.000000 400.000000 0.000 1
NaN NaN NaN NaN
480.000000 680.000000 0.000 1
479.970095 681.894113 0.000 1
479.880411 683.786338 0.000 1
479.731037 685.674788 0.000 1
479.522122 687.557582 0.000 1
479.253873 689.432843 0.000 1
478.926559 691.298700 0.000 1
478.540506 693.153295 0.000 1
478.096098 694.994778 0.000 1
477.593779 696.821314 0.000 1
477.034049 698.631082 0.000 1
476.417467 700.422278 0.000 1
475.744646 702.193117 0.000 1
475.016258 703.941833 0.000 1
474.233028 705.666684 0.000 1
473.395738 707.365950 0.000 1
472.505221 709.037936 0.000 1
471.562367 710.680977 0.000 1
470.568113 712.293434 0.000 1
469.523453 713.873701 0.000 1
468.429426 715.420202 0.000 1
467.287124 716.931394 0.000 1
466.097685 718.405773 0.000 1
464.862295 719.841869 0.000 1
463.582185 721.238249 0.000 1
462.258632 722.593521 0.000 1
460.892954 723.906336 0.000 1
459.486513 725.175384 0.000 1
458.040711 726.399400 0.000 1
456.556989 727.577164 0.000 1
455.036827 728.707502 0.000 1
453.481739 729.789288 0.000 1
451.893276 730.821442 0.000 1
450.273020 731.802937 0.000 1
448.622588 732.732793 0.000 1
446.943625 733.610084 0.000 1
445.237803 734.433935 0.000 1
443.506824 735.203525 0.000 1
441.752413 735.918088 0.000 1
439.976318 736.576910 0.000 1
438.180311 737.179335 0.000 1
436.366181 737.724762 0.000 1
434.535737 738.212648 0.000 1
432.690803 738.642506 0.000 1
430.833219 739.013908 0.000 1
428.964836 739.326484 0.000 1
427.087517 739.579922 0.000 1
425.203133 739.773969 0.000 1
423.313562 739.908433 0.000 1
421.420688 739.983178 0.000 1
419.526398 739.998131 0.000 1
417.632580 739.953276 0.000 1
415.741122 739.848659 0.000 1
413.853909 739.684383 0.000 1
411.972823 739.460612 0.000 1
410.099739 739.177570 0.000 1
408.236523 738.835539 0.000 1
406.385033 738.434858 0.000 1
404.547116 737.975929 0.000 1
402.724601 737.459208 0.000 1
400.919308 736.885211 0.000 1
399.133034 736.254509 0.000 1
397.367561 735.567731 0.000 1
395.624649 734.825562 0.000 1
393.906034 734.028742 0.000 1
392.213431 733.178065 0.000 1
390.548526 732.274379 0.000 1
388.912978 731.318584 0.000 1
387.308419 730.311634 0.000 1
385.736448 729.254533 0.000 1
384.198631 728.148333 0.000 1
382.696501 726.994138 0.000 1
381.231557 725.793098 0.000 1
379.805258 724.546411 0.000 1
378.419026 723.255319 0.000 1
377.074243 721.921109 0.000 1
375.772249 720.545111 0.000 1
374.514342 719.128697 0.000 1
