X Y Z CORTAR
310.000000 301.445313 0.000 1
310.002095 301.654282 0.000 1
310.004691 301.863244 0.000 1
310.007622 302.072202 0.000 1
310.010723 302.281157 0.000 1
310.013829 302.490113 0.000 1
310.016775 302.699070 0.000 1
310.019395 302.908032 0.000 1
310.021524 303.117001 0.000 1
310.022998 303.325979 0.000 1
310.023689 303.534968 0.000 1
310.023731 303.743965 0.000 1
310.023357 303.952967 0.000 1
310.022803 304.161969 0.000 1
310.022302 304.370967 0.000 1
310.022091 304.579957 0.000 1
310.022403 304.788936 0.000 1
310.023474 304.997898 0.000 1
310.025538 305.206841 0.000 1
310.028830 305.415759 0.000 1
310.033506 305.624652 0.000 1
310.039406 305.833521 0.000 1
310.046286 306.042373 0.000 1
310.053904 306.251212 0.000 1
310.062017 306.460044 0.000 1
310.070382 306.668874 0.000 1
310.078757 306.877707 0.000 1
310.086899 307.086549 0.000 1
310.094564 307.295405 0.000 1
310.101512 307.504279 0.000 1
310.107498 307.713178 0.000 1
310.112376 307.922103 0.000 1
310.116291 308.131052 0.000 1
310.119446 308.340018 0.000 1
310.122044 308.548996 0.000 1
310.124287 308.757981 0.000 1
310.126379 308.966967 0.000 1
310.128521 309.175949 0.000 1
310.130916 309.384921 0.000 1
310.133768 309.593877 0.000 1
310.137278 309.802813 0.000 1
310.141650 310.011723 0.000 1
310.147086 310.220601 0.000 1
310.153688 310.429445 0.000 1
310.161324 310.638259 0.000 1
310.169830 310.847048 0.000 1
310.179037 311.055818 0.000 1
310.188782 311.264573 0.000 1
310.198897 311.473319 0.000 1
310.209218 311.682062 0.000 1
310.219577 311.890805 0.000 1
310.229809 312.099555 0.000 1
310.239748 312.308316 0.000 1
310.249229 312.517095 0.000 1
310.258085 312.725895 0.000 1
310.266151 312.934723 0.000 1
310.273353 313.143580 0.000 1
310.279801 313.352463 0.000 1
310.285622 313.561366 0.000 1
310.290946 313.770286 0.000 1
310.295903 313.979217 0.000 1
310.300622 314.188154 0.000 1
310.305231 314.397094 0.000 1
310.309860 314.606032 0.000 1
310.314639 314.814963 0.000 1
310.319696 315.023881 0.000 1
310.325162 315.232784 0.000 1
310.331164 315.441665 0.000 1
310.337832 315.650521 0.000 1
310.345295 315.859347 0.000 1
310.353604 316.068140 0.000 1
310.362666 316.276906 0.000 1
310.372378 316.485646 0.000 1
310.382634 316.694367 0.000 1
310.393328 316.903072 0.000 1
310.404355 317.111766 0.000 1
310.415609 317.320451 0.000 1
310.426986 317.529133 0.000 1
310.438379 317.737816 0.000 1
310.449684 317.946503 0.000 1
310.460795 318.155199 0.000 1
310.471606 318.363909 0.000 1
310.482013 318.572635 0.000 1
310.491909 318.781383 0.000 1
310.501191 318.990157 0.000 1
310.509819 319.198957 0.000 1
310.517871 319.407781 0.000 1
310.525438 319.616625 0.000 1
310.532611 319.825484 0.000 1
310.539480 320.034356 0.000 1
310.546135 320.243236 0.000 1
310.552668 320.452121 0.000 1
310.559168 320.661007 0.000 1
310.565727 320.869890 0.000 1
310.572435 321.078765 0.000 1
310.579383 321.287630 0.000 1
310.586660 321.496481 0.000 1
310.594359 321.705314 0.000 1
310.602569 321.914124 0.000 1
310.611380 322.122908 0.000 1
310.620879 322.331663 0.000 1
310.631050 322.540390 0.000 1
310.641799 322.749091 0.000 1
310.653024 322.957772 0.000 1
310.664627 323.166436 0.000 1
310.676508 323.375088 0.000 1
310.688568 323.583732 0.000 1
310.700706 323.792373 0.000 1
310.712824 324.001013 0.000 1
310.724822 324.209658 0.000 1
310.736600 324.418312 0.000 1
310.748060 324.626979 0.000 1
310.759100 324.835662 0.000 1
310.769623 325.044367 0.000 1
310.779527 325.253098 0.000 1
310.788715 325.461858 0.000 1
310.797109 325.670651 0.000 1
310.804770 325.879474 0.000 1
310.811805 326.088324 0.000 1
310.818322 326.297195 0.000 1
310.824430 326.506085 0.000 1
310.830237 326.714987 0.000 1
310.835852 326.923899 0.000 1
310.841382 327.132815 0.000 1
310.846935 327.341732 0.000 1
310.852621 327.550645 0.000 1
310.858546 327.759549 0.000 1
310.864821 327.968441 0.000 1
310.871551 328.177317 0.000 1
310.878847 328.386171 0.000 1
310.886815 328.595000 0.000 1
310.895540 328.803800 0.000 1
310.904952 329.012573 0.000 1
310.914919 329.221325 0.000 1
310.925311 329.430060 0.000 1
310.935995 329.638782 0.000 1
310.946842 329.847497 0.000 1
310.957719 330.056209 0.000 1
310.968497 330.264923 0.000 1
310.979043 330.473642 0.000 1
310.989227 330.682373 0.000 1
310.998917 330.891120 0.000 1
311.007982 331.099887 0.000 1
311.016292 331.308679 0.000 1
311.023715 331.517501 0.000 1
311.030154 331.726357 0.000 1
311.035700 331.935242 0.000 1
311.040515 332.144154 0.000 1
311.044758 332.353086 0.000 1
311.048590 332.562033 0.000 1
311.052171 332.770991 0.000 1
311.055662 332.979953 0.000 1
311.059223 333.188916 0.000 1
311.063015 333.397875 0.000 1
311.067197 333.606823 0.000 1
311.071930 333.815756 0.000 1
311.077374 334.024670 0.000 1
311.083690 334.233558 0.000 1
311.090991 334.442417 0.000 1
311.099148 334.651251 0.000 1
311.107954 334.860065 0.000 1
311.117201 335.068863 0.000 1
311.126681 335.277653 0.000 1
311.136188 335.486438 0.000 1
311.145513 335.695225 0.000 1
311.154450 335.904019 0.000 1
311.162789 336.112825 0.000 1
311.170325 336.321648 0.000 1
311.176849 336.530495 0.000 1
311.182154 336.739370 0.000 1
311.186105 336.948277 0.000 1
311.188874 337.157213 0.000 1
311.190719 337.366172 0.000 1
311.191896 337.575149 0.000 1
311.192661 337.784139 0.000 1
311.193271 337.993136 0.000 1
311.193983 338.202135 0.000 1
311.195052 338.411130 0.000 1
311.196736 338.620116 0.000 1
311.199290 338.829087 0.000 1
311.202971 339.038039 0.000 1
311.207919 339.246967 0.000 1
311.213893 339.455876 0.000 1
311.220574 339.664771 0.000 1
311.227645 339.873655 0.000 1
